Time ,H ,U ,Output Speed ,Weight on bit
50,649.554687606196,1.4660426140756,83.5566105722937,609.106481276651
50.01,641.286299273943,1.46624919383659,78.7306110466705,598.019256091577
50.02,631.256086388312,1.46644710481433,76.9175814127739,584.33720896591
50.03,619.503728492988,1.46664359923494,77.8427910387846,574.964787015023
50.04,605.908267127943,1.46684498434597,81.0744327678908,568.066747380026
50.05,590.331915306385,1.46705648715419,86.2142255935101,547.240912110181
50.06,572.743176095555,1.46728242544663,92.9509645158687,535.762921853609
50.07,553.344593933953,1.46752638205309,101.005699642679,509.030352341598
50.08,532.718220060516,1.46779123960116,110.086586619902,485.304752040093
50.09,511.971160074409,1.46807909874644,119.838588147693,470.243855463392
50.1,492.826698631385,1.4683911193445,129.823449052314,448.763443976104
50.11,477.574800739579,1.46872733545196,139.525937499202,434.263179511238
50.12,468.792148966575,1.46908649482852,148.368478362795,424.069581969482
50.13,468.796737738368,1.46946595009193,155.750261335989,423.492353709855
50.14,478.928190843422,1.46986163998727,161.098418265105,437.661857692561
50.15,498.900499910603,1.47026819029664,163.929797078916,461.853412255953
50.16,526.552126343569,1.47067915723937,163.914756220372,484.664240134422
50.17,558.211179214938,1.47108741801112,160.930725846987,513.13747467064
50.18,589.607132972625,1.47148568838,155.088150109442,547.04668550704
50.19,616.965062074684,1.47186710891014,146.728736967256,574.230164013556
50.2,637.827872328295,1.47222582725694,136.40091604584,597.767415979897
50.21,651.329059801363,1.47255751661521,124.816078617247,599.824919343202
50.22,657.937208976271,1.47285978464406,112.814902583347,616.854658730453
50.23,658.906080077807,1.47313248208734,101.316448698484,614.387676740749
50.24,655.6977168354,1.47337787184607,91.2758611347125,612.437433578553
50.25,649.554687577141,1.4736005874664,83.5563924885652,607.653738314435
50.26,641.286299258695,1.4738071671796,78.7305246175408,597.473137970682
50.27,631.256086389819,1.47400507812628,76.9175889182932,584.382812662798
50.28,619.503728533596,1.47420157249543,77.8429552266592,575.990948827469
50.29,605.908266844972,1.47440295801275,81.0733987017783,561.362294434253
50.3,590.33191529266,1.47461446048579,86.2141777838998,546.913466315999
50.31,572.743175754941,1.47484039919557,92.9498466614092,527.53373627066
50.32,553.344593944588,1.47508435535286,101.005734311658,509.30566258357
50.33,532.718220093879,1.47534921286268,110.086701968184,486.301278982889
50.34,511.971160072059,1.4756370720647,119.838580238828,470.170074130953
50.35,492.82669862427,1.47594909267672,129.823415808801,448.427099068854
50.36,477.57480068943,1.47628530897765,139.525571744673,430.288191946914
50.37,468.792148948213,1.47664446837346,148.368102755312,419.734411814348
50.38,468.796737709566,1.47702392302673,155.750850655623,430.625741851269
50.39,478.928190856315,1.47741961336073,161.09832940044,436.550837811654
50.4,498.900500134647,1.4778261642775,163.928812943587,449.32933351051
50.41,526.552126366164,1.47823713060771,163.914676541811,483.649546407009
50.42,558.211179209695,1.47864539131454,160.930742316249,513.342546236878
50.43,589.607133001124,1.47904366175687,155.088052651016,545.871403480814
50.44,616.9650618794,1.47942508175972,146.729502428934,582.968084070931
50.45,637.82787233262,1.47978380058492,136.40089184213,597.510835589276
50.46,651.32905971512,1.48011548956306,124.816786384421,606.725344197586
50.47,657.937208952036,1.48041775772298,112.815404384681,621.293615439096
50.48,658.906080084731,1.48069045525962,101.316784836749,617.071683212734
50.49,655.697716794414,1.48093584535435,91.2753532311843,608.763157067282
50.5,649.554687580728,1.48115856077211,83.5564172002538,607.817695757529
50.51,641.286299110392,1.48136514077086,78.7296887257556,592.198803663721
50.52,631.256086497397,1.48156305127934,76.9180865501647,587.457922345998
50.53,619.503728573374,1.48175954575751,77.8431148126249,576.986986861442
50.54,605.908266846691,1.48196093132559,81.0734029412154,561.390674362116
50.55,590.331915269324,1.48217243382934,86.2140971012509,546.359050309669
50.56,572.743175788337,1.48239837246768,92.949955364171,528.333422197278
50.57,553.344594241693,1.48264232825703,101.006707703245,517.056331768028
50.58,532.718220161429,1.48290718607098,110.086933217388,488.301524152732
50.59,511.971160083895,1.48319504535703,119.838624531038,470.584867429679
50.6,492.826698490015,1.48350706633913,129.82276953024,441.876261698159
50.61,477.574800735475,1.48384328209791,139.525907456591,433.938617272405
50.62,468.792148974089,1.4842024413624,148.368632768264,425.852092853673
50.63,468.796737716702,1.48458189643479,155.750705189182,428.864361777957
50.64,478.928190858925,1.4849775866866,161.09831215121,436.334270510099
50.65,498.900500110034,1.48538413751833,163.928921549248,450.710759600783
50.66,526.552126610706,1.48579510450408,163.913817082039,472.713265242435
50.67,558.211179071509,1.48620336432871,160.931193633948,518.983482812642
50.68,589.607132947177,1.4866016349535,155.088236198415,548.083948374484
50.69,616.965062147882,1.48698305571309,146.728449841138,570.953684687647
50.7,637.827872425611,1.48734177417003,136.400412648332,592.41739370784
50.71,651.329059689595,1.48767346276763,124.816998274386,608.792363221594
50.72,657.93720900273,1.48797573153126,112.814351465033,611.980224128999
50.73,658.90608008567,1.48824842855418,101.316831775175,617.44567678163
50.74,655.697716799981,1.48849381864178,91.2754238031376,609.272941755065
50.75,649.554687557602,1.48871653414648,83.5562460306015,606.677135520847
50.76,641.286299239297,1.48892311384425,78.7304160609851,596.78807517744
50.77,631.256086542112,1.48912102452584,76.9182958304173,588.75142327623
50.78,619.503728390119,1.48931751931446,77.8423745307572,572.363532236425
50.79,605.908266857734,1.48951890462581,81.0734444884394,561.659332065219
50.8,590.331915014448,1.48973040745686,86.2132309622001,540.415085827994
50.81,572.743175820736,1.4899563457406,92.9500617656607,529.117694896426
50.82,553.344593931988,1.49020030199921,101.005692476331,508.971930977311
50.83,532.718220393783,1.49046515901901,110.087732504594,495.211252149734
50.84,511.971160028547,1.49075301877747,119.838411320817,468.58601165014
50.85,492.826698507548,1.49106503960803,129.822853819771,442.731318340466
50.86,477.574800742468,1.49140125538268,139.52595868195,434.494696814274
50.87,468.792148971986,1.49176041470293,148.368590155076,425.359509645811
50.88,468.796737718033,1.49213986976637,155.750678479202,428.540331664615
50.89,478.928190907772,1.49253556022458,161.097976250285,432.131636403775
50.9,498.900500038148,1.49294211061857,163.929237584179,454.733583823249
50.91,526.552126382303,1.49335307727422,163.914620700721,482.938833574319
50.92,558.211178862568,1.49376133719045,160.931874236165,527.488585182206
50.93,589.607132981288,1.49415960834131,155.088121569216,546.70309345921
50.94,616.965062103638,1.49454102892177,146.728623903997,572.940241443474
50.95,637.827872363049,1.49489974730179,136.400735787046,595.851867966585
50.96,651.329059691478,1.49523143609032,124.816982228105,608.635136775791
50.97,657.937208997327,1.4955337047929,112.814463902985,612.973903576732
50.98,658.906080105361,1.49580640146201,101.317793752479,625.126231453686
50.99,655.69771683753,1.49605179177963,91.2758859674826,612.616592160132
51,649.554687507545,1.49627450759288,83.5558694489928,604.167671337897
51.01,641.286299274505,1.49648108709334,78.7306128808292,598.03086164893
51.02,631.256086520371,1.4966789978733,76.9181937287369,588.119906991281
51.03,619.503728412541,1.49687549259899,77.8424655917495,572.931595376703
51.04,605.908267011609,1.49707687774855,81.0740065547376,565.30422631587
51.05,590.331915252174,1.49728838047881,86.2140396208432,545.964509003725
51.06,572.743175953123,1.49751431888611,92.9504959134168,532.314543765882
51.07,553.34459390858,1.49775827534593,101.005615509121,508.360106416227
51.08,532.718220352171,1.49802313239916,110.087588978323,493.969903194878
51.09,511.971160034778,1.49831099208011,119.838434889778,468.806317654846
51.1,492.826698506916,1.49862301292442,129.822850105951,442.692822413383
51.11,477.574800860289,1.49895922819884,139.526820701917,443.864597888709
51.12,468.792148969832,1.4993183880445,148.368545760868,424.847700150225
51.13,468.796737744023,1.49969784342331,155.75014646078,422.101455833891
51.14,478.928190984791,1.50009353389221,161.097445601681,425.492931162242
51.15,498.900499838101,1.5005000833379,163.930116037662,465.914058957342
51.16,526.552126363444,1.50091105054419,163.91468617,483.772732903972
51.17,558.211179218321,1.50131931127654,160.930713737355,512.986238581164
51.18,589.607133006374,1.50171758171159,155.088034379943,545.651597000483
51.19,616.965062095012,1.50209900221669,146.728655960591,573.305394484159
51.2,637.827872381939,1.50245772067199,136.400637016877,594.801184600892
51.21,651.329059656069,1.50278940925364,124.817273754315,611.478702405819
51.22,657.937208983113,1.50309167796908,112.814758432192,615.579173352301
51.23,658.906080087178,1.50336437515205,101.316904701137,618.027927728938
51.24,655.697716886127,1.50360976486552,91.276484034364,616.944712490807
51.25,649.554687578245,1.50383248072171,83.5563983777453,607.69273909104
51.26,641.286299271203,1.50403906041402,78.7305938846934,597.910233733965
51.27,631.256086448266,1.50423697129594,76.9178596106859,586.055309622856
51.28,619.503728510689,1.50443346578332,77.8428621533776,575.409464951901
51.29,605.908267094478,1.50463485095945,81.0743101968412,567.272357539206
51.3,590.331915275347,1.5048463537643,86.2141193239828,546.512236934503
51.31,572.743175959605,1.50507229219181,92.9505182566441,532.478388434221
51.32,553.344593922095,1.50531624864098,101.005661397749,508.724815629812
51.33,532.718220333192,1.50558110574236,110.0875261049,493.425769626502
51.34,511.971159988085,1.50586896548273,119.838257579715,467.143532864313
51.35,492.826698608659,1.50618098597398,129.823341740425,447.676312080276
51.36,477.574800758121,1.50651720194386,139.52607552111,435.764423121247
51.37,468.7921489354,1.50687636179137,148.367841347879,416.716368917852
51.38,468.79673772757,1.50725581652042,155.750483691644,426.184364864241
51.39,478.928190871702,1.50765150668777,161.098224787818,435.241798728047
51.4,498.900499883198,1.50805805678594,163.929918702448,463.401889252343
51.41,526.552126373655,1.50846902388272,163.914650515425,483.318243337311
51.42,558.211179184181,1.50887728451626,160.93082601192,514.388486920288
51.43,589.607133267653,1.50927555559163,155.087152051015,535.019411658529
51.44,616.965061958855,1.50965697520642,146.72919056688,579.408657334294
51.45,637.827872348097,1.51001569388738,136.40081209365,596.662780107015
51.46,651.329059772574,1.51034738306491,124.816314166364,602.122213428851
51.47,657.937208940611,1.51064965086865,112.815642320451,623.399713221278
51.48,658.906080083031,1.5109223485521,101.316701784581,616.408475265113
51.49,655.697716874313,1.51116773823557,91.2763382747867,615.889284912933
51.5,649.554687572431,1.51139045405097,83.5563559824865,607.409420376973
51.51,641.28629931127,1.51159703365318,78.7308208172107,599.342268840078
51.52,631.256086444904,1.51179494461529,76.9178441176362,585.959853707701
51.53,619.503728696223,1.51199143885174,77.8436122982246,580.09577884198
51.54,605.908266898451,1.51219282451814,81.0735931574291,562.623808390098
51.55,590.3319152653,1.51240432709136,86.2140842699133,546.270914182635
51.56,572.743175928726,1.51263026554541,92.9504173756113,531.735027421164
51.57,553.344594088331,1.51287422172564,101.006206319597,513.064765207698
51.58,532.718220170886,1.51313907931275,110.086967305389,488.59597542787
51.59,511.971159890728,1.51342693898473,119.837880668067,463.608535865641
51.6,492.826698641411,1.5137389592044,129.82349759547,449.255809146907
51.61,477.57480072405,1.51407517540356,139.525823948693,433.030660485169
51.62,468.792148943805,1.51443433500098,148.368011875569,418.685285978316
51.63,468.796737724706,1.51481378979804,155.750540776319,426.874566381397
51.64,478.928190878456,1.51520948003391,161.098177092829,434.644304962373
