Time ,H ,U ,Output Speed ,Weight on bit
50,529.12714102668,1.9660528673687,180.945389991823,482.646481457481
50.01,564.673409651081,1.96650735756078,180.80829292279,522.798088066266
50.02,599.787602155348,1.96695979821802,178.335904654057,552.593259631238
50.03,629.284994659622,1.96740451928872,173.80058659026,591.189078258774
50.04,649.436248050938,1.96783668104822,167.709765641152,608.817869006466
50.05,658.545726398366,1.96825285752242,160.750918456528,617.236762887501
50.06,656.816934346957,1.96865145717333,153.707415055044,606.481477699406
50.07,645.74579683741,1.96903291333078,147.376245320439,606.39529561959
50.08,627.411335296234,1.96939963791355,142.470162220917,583.242383125503
50.09,603.951433682294,1.96975572037037,139.543379107678,567.54625910401
50.1,577.341339647326,1.97010642899997,138.91153143675,531.043009068745
50.11,549.444359628425,1.97045755953422,140.625879803174,504.953771920924
50.12,522.218142277161,1.97081476028803,144.469661382581,480.540392896027
50.13,497.926300804228,1.97118291787855,150.002671601944,457.437467353962
50.14,479.202803837011,1.97156567816868,156.618212185295,437.517979777348
50.15,468.841343091829,1.97196511738463,163.605087296473,422.479350091538
50.16,469.254718025542,1.9723815581064,170.21301532888,426.450231332394
50.17,481.692574834156,1.97281353135591,175.719152223976,437.739340914324
50.18,505.491433602879,1.97325788731974,179.506443494533,463.239990691488
50.19,537.747494399247,1.97371007767569,181.135247586841,500.19508505208
50.2,573.710178739202,1.97416460765986,180.402719347053,526.617535180023
50.21,607.86616374573,1.97461562842164,177.379533763839,565.233436767424
50.22,635.301286750853,1.97505761768079,172.398771511604,589.839906978753
50.23,652.769690515016,1.97548603735159,166.022496780815,620.638684823642
50.24,659.087585565344,1.97589789159045,158.966413716177,616.044338679023
50.25,654.848735612559,1.97629208443077,152.028391690904,611.874153990268
50.26,641.757799944908,1.97666955993519,145.990340246447,593.402145131088
50.27,621.946510605073,1.97703318405969,141.536207114395,580.200357810497
50.28,597.520814631427,1.97738739706973,139.163221696696,555.615005608636
50.29,570.414746765812,1.97773766193389,139.124400517411,524.704815609831
50.3,542.492982142106,1.97808980058005,141.401193570245,501.230733273673
50.31,515.773042860082,1.9784493241776,145.71555232017,470.941301914254
50.32,492.613993043872,1.97882084726002,151.581596243091,452.646441574387
50.33,475.722269089086,1.97920764943803,158.358773501152,426.86987611209
50.34,467.859368111249,1.97961137862361,165.322304547122,427.344220819186
50.35,471.225447083377,1.98003190946634,171.719086635244,425.252520196241
50.36,486.652554361737,1.98046733403188,176.848227887546,447.80406321813
50.37,512.922915199085,1.98091412140933,180.128096787456,468.546933910141
50.38,546.603433299314,1.981367436592,181.175360029919,505.61300835469
50.39,582.630892964989,1.98182163634331,179.853328462096,540.583399746103
50.4,615.516047912372,1.98227088965042,176.299170167936,569.767419910156
50.41,640.684121862178,1.98270985988878,170.909576947286,597.270656115021
50.42,655.397296254489,1.98313434981058,164.290986668688,612.520511126564
50.43,658.964227696565,1.98354181100383,157.190436472104,628.200033179497
50.44,652.325363603475,1.98393165765987,150.40555770864,609.725262765575
50.45,637.350117574317,1.98430533238355,144.705386999699,592.698500729355
50.46,616.194291081269,1.98466613703896,140.733371429861,574.475020813134
50.47,590.923089826911,1.98501882505558,138.930647238903,546.978883054773
50.48,563.436404735098,1.98536901343055,139.483505363096,521.384709936271
50.49,535.614930529769,1.98572250849392,142.303456075824,481.205404446601
50.5,509.548603371077,1.98608464418801,147.059945125806,470.980532130103
50.51,487.692899458154,1.98645973981241,153.217611872684,443.955175157551
50.52,472.808633624541,1.98685068676457,160.112088124694,430.017860442565
