Time ,H ,U ,Output Speed ,Weight on bit
50,514.743369360804,1.71551992915171,125.518921609164,468.163336917472
50.01,494.416267523899,1.71584367382048,133.573073248516,449.086239137985
50.02,478.340542138811,1.71618777468953,142.162344895934,437.610829444032
50.03,468.991990059774,1.71655293629515,150.62527204673,422.252975896899
50.04,468.681662263447,1.71693826370831,158.28640539508,427.989533177224
50.05,478.854470181898,1.71734126129062,164.494613613314,432.981689909947
50.06,499.385686022981,1.71775792759935,168.689578815014,460.809109208747
50.07,528.202848884103,1.71818299561768,170.457894193018,483.943639824169
50.08,561.51027662933,1.71861031192852,169.596575699013,520.878171806121
50.09,594.637724809292,1.71903336025208,166.140720747523,548.523786858955
50.1,623.20352170649,1.71944586140211,160.373372176519,580.72107668705
50.11,644.108045399529,1.71984239046709,152.793359151748,600.394329073662
50.12,655.986814347201,1.720218915439,144.07001003939,617.028514060498
50.13,659.05836723456,1.72057320588187,134.977023363988,613.158500367293
50.14,654.577084192417,1.72090506232989,126.332401477459,613.469509253825
50.15,644.196092162122,1.72121636178834,118.9194602521,603.350248116182
50.16,629.473815746541,1.72151088578783,113.411098985971,585.637349463299
50.17,611.623906241619,1.7217939279164,110.284686228704,567.383863715052
50.18,591.498494190279,1.72207170618592,109.760387062499,544.939568696116
50.19,569.736836108161,1.72235068633064,111.798445745467,528.427485885871
50.2,546.997622506877,1.72263697098329,116.141739849076,502.89493094426
50.21,524.204308110324,1.72293584155508,122.384744269232,475.807771121525
50.22,502.743927332771,1.72325145777095,130.019017120566,459.677655030142
50.23,484.553708739732,1.72358665761832,138.457138730372,440.200367668264
50.24,472.015187930148,1.72394280862346,147.056644316362,421.86339197383
50.25,467.586405043781,1.7243197063774,155.144404300467,425.544533418929
50.26,473.176239766334,1.72471553706732,162.050484237567,428.647722699819
50.27,489.405888145281,1.72512692328723,167.169405507614,453.556188313108
50.28,515.049469517567,1.72554910344922,170.015145156993,469.00544318996
50.29,546.978698679028,1.72597624592539,170.291193415559,504.957873311313
50.3,580.763619860426,1.72640192060225,167.926558943894,534.044786484749
50.31,611.756212641438,1.72681966902916,163.101291966911,575.872741028331
50.32,636.215132707426,1.72722362964173,156.22422358043,594.021021543706
50.33,652.01803848906,1.72760911347959,147.900494631837,609.785116079414
50.34,658.755914856896,1.72797307919327,138.866475814406,610.644624806117
50.35,657.318693147182,1.7283144396493,129.930652632135,615.593864244452
50.36,649.261206099922,1.72863419086681,121.898855142545,608.619951199142
50.37,636.228029256348,1.7289353331593,115.501607432466,584.794722458724
50.38,619.595071443826,1.72922257287399,111.312647807473,576.318324957056
50.39,600.358952989964,1.72950181444722,109.663363682281,554.177246449378
50.4,579.224791720986,1.72977949827432,110.624446850844,543.182541204976
50.41,556.812242195572,1.73006194980295,114.021336319223,514.953153677376
50.42,533.902890242061,1.73035484597917,119.507689358254,491.50904726148
50.43,511.666243472361,1.73066285732416,126.61299301616,466.184531915763
50.44,491.80353859748,1.73098940825096,134.782313833235,446.601061471129
50.45,476.534568956737,1.73133651161613,143.39436655468,430.130074883755
50.46,468.347662625016,1.73170464562579,151.78557785759,434.356453415906
50.47,469.476186292015,1.73209268764382,159.276420699152,426.577143123945
50.48,481.180085280742,1.73249791567996,165.228533626277,433.752493950414
50.49,503.067706704224,1.73291613081274,169.096938124349,450.577794480655
50.5,532.790754940672,1.73334191007181,170.498570415732,500.022009707324
50.51,566.364581432302,1.7337690175276,169.257624573232,523.774904577849
50.52,599.08754081919,1.73419093000133,165.448926654326,553.984748878699
50.53,626.710076599279,1.73460145454564,159.387312852058,582.551773759401
50.54,646.36768533438,1.7349953343146,151.599931093769,602.877216071745
50.55,656.943735104271,1.73536877404294,142.774204990347,611.735665084033
50.56,658.843592107884,1.73571982207487,133.696682154802,623.900132210518
50.57,653.416188586308,1.73604858018959,125.180674305504,612.404957899538
50.58,642.326120226781,1.73635721114457,118.002139813831,599.45083395267
50.59,627.091933468858,1.73664974214092,112.810332714695,581.12923561579
50.6,608.871920419986,1.73693163830152,110.048831767667,565.364560916773
50.61,588.475882841936,1.73720919495491,109.898561911761,541.925153614584
50.62,566.5306394431,1.73748885998457,112.285836403571,524.80474645434
50.63,543.718140213498,1.73777664260579,116.928483198857,501.525993450188
50.64,521.017724400041,1.73807768014873,123.402551978287,467.4443012594
50.65,499.893295974156,1.73839595282568,131.189802836552,457.985559543068
50.66,482.357568872689,1.73873409767904,139.691484468837,439.52882171802
50.67,470.832113330036,1.73909326279894,148.258968687532,417.810375348121
50.68,467.739796574518,1.73947301373384,156.218229259002,423.535097884786
50.69,474.850280904429,1.73987130821094,162.904040752317,430.137697341489
50.7,492.546595058685,1.74028455723635,167.723947679957,451.224712472889
50.71,519.319492617778,1.74070782250988,170.216511798813,477.56932867801
50.72,551.803192471254,1.741135156405,170.113638088705,510.272315290764
50.73,585.463753327183,1.7415600872315,167.380450355531,536.441740194931
50.74,615.719229989138,1.74197620399985,162.231036889162,564.815554941514
50.75,639.029698960373,1.74237777727245,155.107829435057,598.606756607268
