Time,Output Speed,Weight on bit
50,128.1463627,540.1369421
50.01,117.0483262,561.9519991
50.02,104.6868133,587.9256009
50.03,91.92937777,597.0234089
50.04,79.86125298,603.1549771
50.05,69.71543193,612.0284233
50.06,62.52866953,614.3344843
50.07,58.57283661,618.9982443
50.08,57.24559263,616.7931119
50.09,57.68608819,613.8020187
50.1,59.27539335,609.6173215
50.11,61.70078836,609.5086242
50.12,64.84392765,604.3764105
50.13,68.69054103,594.0685788
50.14,73.27238081,587.3177941
50.15,78.62612244,572.0981455
50.16,84.77366562,557.4569229
50.17,91.69365219,544.677762
50.18,99.30099168,523.2349604
50.19,107.4351227,498.5053173
50.2,115.8499286,486.0301321
50.21,124.2078009,459.4708919
50.22,132.0989958,439.6627493
50.23,139.0545986,435.2738152
50.24,144.5766149,423.4711823
50.25,148.1875356,426.4201596
50.26,149.4733948,428.4872242
50.27,148.144023,464.2200524
50.28,144.0670491,486.638033
50.29,137.3100016,507.9838793
50.3,128.1465235,541.7458905
50.31,117.0485438,563.9469838
50.32,104.6855285,577.3461413
50.33,91.92928758,596.3654133
50.34,79.862071,608.3829676
50.35,69.71520654,610.7545683
50.36,62.52948304,618.5179149
50.37,58.57203292,615.0882764
50.38,57.24559622,616.8098104
50.39,57.6867413,616.9381731
50.4,59.27639719,614.5505087
50.41,61.69968319,603.8886878
50.42,64.8431186,600.0829162
50.43,68.69050064,593.8435991
50.44,73.27163394,582.8997338
50.45,78.62549199,568.1225684
50.46,84.77393249,559.2603011
50.47,91.69285919,538.9143162
50.48,99.30015284,516.662066
50.49,107.435448,501.2541856
50.5,115.8486118,474.0759717
50.51,124.2077402,458.8804618
50.52,132.0993491,443.3026077
50.53,139.053127,419.3305673
50.54,144.5771443,429.4283254
50.55,148.1876293,427.5004988
50.56,149.4744124,440.3162296
50.57,148.1429909,452.3274616
50.58,144.0669843,485.9121521
50.59,137.3106752,515.1901147
50.6,128.1462906,539.4158451
50.61,117.048388,562.5184775
50.62,104.6867415,587.3343313
50.63,91.92961803,598.7730382
50.64,79.86160845,605.4263739
50.65,69.71541544,611.9362458
50.66,62.52856474,613.7953873
50.67,58.57304204,619.9966565
50.68,57.24561809,616.9146706
50.69,57.68627294,614.6895806
50.7,59.27489307,607.1592326
50.71,61.70070453,609.0819554
50.72,64.84336458,601.38906
50.73,68.69055285,594.1343331
50.74,73.2725855,588.5275413
50.75,78.62600171,571.3366
50.76,84.77297562,552.7950678
50.77,91.69297785,539.7773616
50.78,99.30105658,523.7429786
50.79,107.4352151,499.2859282
50.8,115.8497955,484.8208213
50.81,124.2076466,457.9720847
50.82,132.0990689,440.4155982
50.83,139.0543337,432.4038405
50.84,144.5760033,416.5883528
50.85,148.1877435,428.817393
50.86,149.4744095,440.2838361
50.87,148.1441284,465.4339257
50.88,144.0670605,486.765334
50.89,137.3099703,507.6474774
50.9,128.1466871,543.3820163
50.91,117.0485451,563.9582014
50.92,104.6859184,580.5557455
50.93,91.92858055,591.2174081
50.94,79.8614739,604.5672403
50.95,69.71526946,611.1101211
50.96,62.52969138,619.5882477
50.97,58.57128138,611.4336311
50.98,57.24473765,612.713633
50.99,57.686013,613.4403036
51,59.27609046,613.0429404
51.01,61.70023921,606.7166649
51.02,64.84329217,601.0039779
51.03,68.69067435,594.8129874
51.04,73.27085272,578.2796512
51.05,78.62602861,571.5070659
51.06,84.77402113,559.8587638
51.07,91.69301974,540.0812278
51.08,99.30009148,516.1812925
51.09,107.4354613,501.3657772
51.1,115.8489991,477.5920959
51.11,124.208246,463.7905811
51.12,132.0994388,444.2290928
51.13,139.0539416,428.1567182
51.14,144.5772866,431.0301358
51.15,148.1876433,427.6625397
51.16,149.4741099,436.7991033
51.17,148.1428305,450.4786427
51.18,144.0671486,487.7539283
51.19,137.3106367,514.7768751
51.2,128.1454245,530.753078
51.21,117.0492378,570.3079945
51.22,104.6860847,581.9255259
51.23,91.9297251,599.5525262
51.24,79.86171125,606.0832959
51.25,69.71530679,611.3213502
51.26,62.52787833,610.2671327
51.27,58.57203838,615.1153377
51.28,57.24582054,617.8800757
51.29,57.68643544,615.4695943
51.3,59.27574076,611.3252329
51.31,61.70049019,607.9919495
51.32,64.84342298,601.6987184
51.33,68.68995193,590.779928
51.34,73.27168185,583.1833995
51.35,78.6260178,571.4378894
51.36,84.77285923,552.0088077
51.37,91.69303992,540.2283016
51.38,99.30027272,517.6001347
51.39,107.4359213,505.2505195
51.4,115.849123,478.7176658
51.41,124.2078438,459.8874272
51.42,132.0990967,440.701542
51.43,139.0540182,428.9860649
51.44,144.5756671,412.8051152
51.45,148.1879849,431.5999701
51.46,149.474443,440.6721957
51.47,148.1434074,457.1263825
51.48,144.0664879,480.3460716
51.49,137.3104529,512.8112854
51.5,128.1464687,541.1975231
51.51,117.0484746,563.3122533
51.52,104.686088,581.9515294
51.53,91.92841617,590.0203534
51.54,79.86154269,605.0064785
51.55,69.71560149,612.9878625
51.56,62.52843726,613.1407564
51.57,58.57178313,613.8731052
51.58,57.24506899,614.2942195
51.59,57.68602818,613.5141584
51.6,59.27576567,611.4467279
51.61,61.70030769,607.0645709
51.62,64.84331696,601.1363188
51.63,68.69071897,595.0616554
51.64,73.27134404,581.1850195
51.65,78.62602625,571.4917634
51.66,84.7732744,554.8129166
51.67,91.69299384,539.8937091
51.68,99.30089647,522.489179
51.69,107.4354318,501.1162846
51.7,115.8491606,479.057738
51.71,124.2075043,456.588543
51.72,132.099575,445.6316455
51.73,139.0540028,428.8192303
51.74,144.5767214,424.6693621
51.75,148.1869413,419.5706615
51.76,149.4744148,440.3454521
51.77,148.1437835,461.4600832
51.78,144.0671824,488.1329884
51.79,137.3106318,514.7246305
51.8,128.1457825,534.3329629
51.81,117.0494256,572.0280903
51.82,104.6861463,582.4326973
51.83,91.92899886,594.2641014
51.84,79.86167534,605.8548034
51.85,69.71552864,612.5758649
51.86,62.52840973,612.9981576
51.87,58.57199743,614.9157697
51.88,57.24540439,615.8953305
51.89,57.68639,615.2510941
51.9,59.27579811,611.6067584
51.91,61.70060712,608.5876234
51.92,64.84355367,602.3921592
51.93,68.68993116,590.6639716
51.94,73.2716214,582.8255945
51.95,78.62685255,576.701524
51.96,84.77375634,558.0703361
51.97,91.69315279,541.0485021
51.98,99.30021829,517.1735418
51.99,107.4360471,506.3113676
52,115.849185,479.2800678
52.01,124.2079924,461.3291162
52.02,132.0987548,437.1769385
52.03,139.0541869,430.8142401
52.04,144.5766756,424.154771
52.05,148.1880929,432.8451428
52.06,149.4744552,440.8141692
52.07,148.1432338,455.1249739
52.08,144.0664879,480.3463842
52.09,137.310524,513.5724495
52.1,128.1463398,539.9080941
52.11,117.0479807,558.7862194
52.12,104.6860755,581.8502905
52.13,91.92937711,597.0180094
52.14,79.86161955,605.4975944
52.15,69.71487784,608.8965907
52.16,62.52845506,613.2317516
52.17,58.57222206,616.0088722
52.18,57.24524418,615.1299679
52.19,57.68610035,613.8604876
52.2,59.27594789,612.343318
52.21,61.70032678,607.1614143
52.22,64.84310733,600.0228382
52.23,68.68991804,590.5897861
52.24,73.2718119,583.9531607
52.25,78.62592141,570.8303696
52.26,84.77315004,553.9724603
52.27,91.69277584,538.3082268
52.28,99.30086521,522.2438816
52.29,107.4351056,498.3620586
52.3,115.849136,478.8350531
52.31,124.2075658,457.1880094
52.32,132.0997671,447.6111207
52.33,139.0540179,428.9832056
52.34,144.5764093,421.1571028
52.35,148.1867722,417.6205814
52.36,149.4745966,442.4578016
52.37,148.1437833,461.4576112
52.38,144.0663577,478.8866184
52.39,137.310556,513.9145398
52.4,128.1463337,539.8474641
52.41,117.0480259,559.200713
52.42,104.6862675,583.4308346
52.43,91.92882382,592.9888161
52.44,79.86151756,604.8457041
52.45,69.71559796,612.9674759
52.46,62.52877139,614.8585436
52.47,58.57206102,615.2248208
52.48,57.24546026,616.161622
52.49,57.68644695,615.5257817
52.5,59.27581247,611.677096
52.51,61.70086076,609.8768922
52.52,64.84432956,606.5096671
52.53,68.69063773,594.6087005
52.54,73.27167605,583.1487066
52.55,78.62705965,578.0061765
52.56,84.77374392,557.9861363
52.57,91.69397526,547.0261478
52.58,99.30068625,520.8421071
52.59,107.4348009,495.7875009
52.6,115.8492987,480.3120315
52.61,124.2079341,460.7629433
52.62,132.0982426,431.8987277
52.63,139.054452,433.6863458
52.64,144.5767121,424.5653402
52.65,148.1873811,424.6387934
52.66,149.4738326,433.5768165
52.67,148.1436423,459.8334829
52.68,144.0671432,487.6933393
52.69,137.310465,512.9406685
52.7,128.1463489,539.9985848
52.71,117.0484929,563.4791227
52.72,104.6858541,580.0266686
52.73,91.92937672,597.0148793
52.74,79.86214097,608.8308407
52.75,69.71513501,610.3503569
52.76,62.52854509,613.6942605
52.77,58.57222429,616.0194177
52.78,57.24533828,615.5797976
52.79,57.68613583,614.0306323
52.8,59.27619838,613.5738455
52.81,61.69976927,604.3266528
52.82,64.84298106,599.3533938
52.83,68.68992109,590.6065805
52.84,73.27181138,583.9496721
52.85,78.62524142,566.5435652
52.86,84.77358326,556.9011737
52.87,91.69280384,538.5124831
52.88,99.30086315,522.2275309
52.89,107.4355387,502.0183566
52.9,115.8489175,476.8510576
52.91,124.2076393,457.9012636
52.92,132.0994601,444.4471807
52.93,139.0533333,421.5655643
52.94,144.5767009,424.4398542
52.95,148.1877318,428.6822884
52.96,149.474648,443.0554408
52.97,148.1437902,461.5363228
52.98,144.0663945,479.2977015
52.99,137.3107021,515.4773329
53,128.1463336,539.8461343
53.01,117.0481785,560.5983965
53.02,104.6871077,590.3505333
53.03,91.92923529,595.9856488
53.04,79.8617125,606.0919214
53.05,69.71548471,612.326868
53.06,62.52878378,614.921924
53.07,58.57287309,619.175618
53.08,57.24560279,616.8415694
53.09,57.68649901,615.7753537
53.1,59.27512782,608.3130357
53.11,61.70100966,610.6335258
53.12,64.84385901,604.0119486
53.13,68.69059028,594.3434406
53.14,73.27253494,588.2290765
53.15,78.62577824,569.927805
53.16,84.77374775,558.0117657
53.17,91.6933174,542.2440499
53.18,99.3007636,521.4477367
53.19,107.4350293,497.7168681
53.2,115.8501235,487.7982419
53.21,124.2079992,461.396329
53.22,132.0991002,440.7390189
53.23,139.0545797,435.0694105
53.24,144.5767246,424.7056358
53.25,148.1871981,422.5294952
53.26,149.4737989,433.1852263
53.27,148.1437598,461.1870097
53.28,144.0670843,487.032592
53.29,137.3095962,503.6470303
53.3,128.1471451,547.9656808
53.31,117.0486238,564.6802877
53.32,104.685832,579.8446147
53.33,91.92938348,597.0639157
53.34,79.86139314,604.0512424
53.35,69.71520825,610.7641022
53.36,62.52925187,617.3291879
53.37,58.57215977,615.7052885
53.38,57.24515771,614.7173752
53.39,57.68598653,613.3133772
53.4,59.27631589,614.1508379
53.41,61.69939841,602.4412656
53.42,64.84333918,601.2537111
53.43,68.69040837,593.3284599
53.44,73.27173573,583.5019277
53.45,78.62577644,569.9161475
53.46,84.77368277,557.5730029
53.47,91.6931145,540.7702354
53.48,99.30073209,521.2015531
53.49,107.4354787,501.5133442
53.5,115.8489405,477.0602346
53.51,124.2076735,458.2332038
53.52,132.099131,441.055049
53.53,139.0530937,418.9702805
53.54,144.5768902,426.569828
53.55,148.1877341,428.7090095
53.56,149.4738458,433.7298084
53.57,148.1434109,457.1668758
53.58,144.0669014,484.98193
53.59,137.310643,514.8455186
53.6,128.146225,538.7592409
53.61,117.0483186,561.8823894
53.62,104.686494,585.2954694
53.63,91.9293539,596.8492152
53.64,79.86186717,607.0802271
53.65,69.71557602,612.844509
53.66,62.52875202,614.7583327
53.67,58.57304949,620.0326353
53.68,57.2462277,619.8233436
53.69,57.68671164,616.796396
53.7,59.27492407,607.3120186
53.71,61.7005039,608.0617336
53.72,64.84323948,600.7250199
53.73,68.69058213,594.2977817
53.74,73.27272306,589.3405443
53.75,78.62580323,570.0851451
53.76,84.77346614,556.1099295
53.77,91.69287716,539.045369
53.78,99.30071129,521.0373169
53.79,107.4351893,499.0678181
53.8,115.8494702,481.8677898
53.81,124.2080686,462.06945
53.82,132.0991588,441.3426453
53.83,139.0539222,427.9457534
53.84,144.576084,417.4976859
53.85,148.1875992,427.1541432
53.86,149.4745427,441.8323016
53.87,148.1437468,461.0363275
53.88,144.0670727,486.9020949
53.89,137.3099106,507.00883
53.9,128.1473579,550.0934824
53.91,117.0486641,565.0487256
53.92,104.6861679,582.6103687
53.93,91.92900149,594.2827471
53.94,79.86144141,604.3594245
53.95,69.71523578,610.9195445
53.96,62.52938434,618.0093952
53.97,58.57169728,613.4563017
53.98,57.24487078,613.3488898
53.99,57.68540465,610.5189486
54,59.27564496,610.8537837
54.01,61.70037629,607.4136313
54.02,64.84345018,601.8425916
54.03,68.6904692,593.6676239
54.04,73.27122371,580.4741508
54.05,78.6261302,572.1475409
54.06,84.77365234,557.3668769
54.07,91.6931781,541.2322182
54.08,99.30086919,522.2753931
54.09,107.4355329,501.9705623
54.1,115.8492538,479.9038613
54.11,124.2074812,456.3646053
54.12,132.0993147,442.9493673
54.13,139.0540978,429.8493756
54.14,144.5769492,427.2331461
54.15,148.1877415,428.7943384
54.16,149.4738305,433.5519069
54.17,148.1434901,458.0797568
54.18,144.0669544,485.5766321
54.19,137.3105121,513.444212
54.2,128.1455052,531.5600119
54.21,117.0487839,566.1477203
54.22,104.6859726,581.0031057
54.23,91.92934157,596.7591732
54.24,79.86181146,606.7239134
54.25,69.71571791,613.6464256
54.26,62.52841737,613.0380966
54.27,58.5717018,613.4784102
54.28,57.24594656,618.481332
54.29,57.68653427,615.9441375
54.3,59.27589535,612.0848454
54.31,61.70018005,606.4148828
54.32,64.84330621,601.078904
54.33,68.69058233,594.2998113
54.34,73.27133288,581.1193646
54.35,78.62589621,570.6712714
54.36,84.77357196,556.8246475
54.37,91.69294772,539.5580333
54.38,99.29984912,514.2810356
54.39,107.4355013,501.7034773
54.4,115.8490211,477.792052
54.41,124.2082811,464.1327899
54.42,132.0991735,441.4930337
54.43,139.0536741,425.2568403
54.44,144.5760349,416.9445874
54.45,148.1877203,428.5496747
54.46,149.4745,441.3352879
54.47,148.1428905,451.1703911
54.48,144.0671543,487.8183206
54.49,137.3104651,512.942365
54.5,128.1461316,537.8265437
54.51,117.0487182,565.5450537
54.52,104.6862505,583.2901904
54.53,91.92907933,594.8493172
54.54,79.86151566,604.8335631
54.55,69.7148845,608.9342616
54.56,62.52813733,611.5989067
54.57,58.57218841,615.8442352
54.58,57.2452475,615.14603
54.59,57.68610173,613.8673917
54.6,59.27542877,609.7911908
54.61,61.7004182,607.6264218
54.62,64.84341058,601.6334103
54.63,68.69040227,593.2934669
54.64,73.27173556,583.5006485
54.65,78.62614385,572.2331959
54.66,84.77279398,551.5669773
54.67,91.69316347,541.1269679
54.68,99.30088303,522.3837317
54.69,107.4356425,502.8960004
54.7,115.8493195,480.5000233
54.71,124.2069033,450.7537023
54.72,132.0995706,445.586291
54.73,139.0541167,430.0530536
54.74,144.5761579,418.3283593
54.75,148.1873427,424.1972766
54.76,149.4743161,439.1983725
54.77,148.1438488,462.2125222
54.78,144.0668787,484.7276278
54.79,137.3105131,513.4549014
54.8,128.1460429,536.9377947
54.81,117.0487892,566.1960903
54.82,104.6860433,581.5844546
54.83,91.92847856,590.4757017
54.84,79.86187509,607.1318915
54.85,69.71590863,614.7246202
54.86,62.52885262,615.2751338
54.87,58.57185914,614.2431336
54.88,57.24526946,615.2513831
54.89,57.68626368,614.6443676
54.9,59.27590687,612.1411623
54.91,61.70044204,607.7482305
54.92,64.84338625,601.5035067
54.93,68.69073848,595.1711203
54.94,73.27146738,581.9146144
54.95,78.62659564,575.0816059
54.96,84.77379193,558.310726
54.97,91.69300929,540.0053538
54.98,99.30014005,516.5607213
54.99,107.4354248,501.0561665
55,115.8490916,478.431865
55.01,124.2080755,462.136006
55.02,132.0984777,434.3226176
55.03,139.0540285,429.0981037
55.04,144.5768135,425.7060071
55.05,148.1877111,428.443339
55.06,149.4744936,441.2604559
55.07,148.1430626,453.1526702
55.08,144.0673224,489.7021222
55.09,137.3104689,512.9823403
55.1,128.1461337,537.846481
