Time,Output Speed,Weight on bit
50,108.3506802,450.5417214
50.01,112.8082656,436.5257805
50.02,116.3483146,427.0286533
50.03,118.6679288,424.2786569
50.04,119.4957538,423.1187267
50.05,118.6264369,443.1285283
50.06,115.94268,449.4656152
50.07,111.4540699,464.9173133
50.08,105.3084097,482.0451508
50.09,97.8102799,502.8765791
50.1,89.42657225,521.3005705
50.11,80.78351815,537.7495889
50.12,72.62385088,552.8995682
50.13,65.67666369,566.4841795
50.14,60.42317109,576.0357322
50.15,56.90629121,585.5931696
50.16,54.7955627,592.9222651
50.17,53.65383865,596.5783769
50.18,53.1380435,605.8859216
50.19,53.03544604,608.561738
50.2,53.23974683,613.0810221
50.21,53.70331141,617.2127652
50.22,54.41153067,615.3788151
50.23,55.37177683,616.1072845
50.24,56.60011808,615.1401275
50.25,58.12129826,611.5705656
50.26,59.96636725,606.4144092
50.27,62.17021709,599.2059267
50.28,64.77056557,594.6636689
50.29,67.80044818,581.6687841
50.3,71.29056516,573.0873639
50.31,75.25460238,564.8974637
50.32,79.68267565,544.8764393
50.33,84.53773446,529.5136937
50.34,89.73776064,509.6594582
50.35,95.15560841,494.1049052
50.36,100.6105906,474.9898636
50.37,105.8732506,450.2238666
50.38,110.6749334,444.4893218
50.39,114.7122531,430.4771056
50.4,117.6793734,430.8621073
50.41,119.2833431,425.4532456
50.42,119.2821942,424.1352798
50.43,117.5139718,447.4889586
50.44,113.91817,455.7537596
50.45,108.573449,476.0334889
50.46,101.7030157,491.8438277
50.47,93.69349093,512.3595943
50.48,85.09293405,530.4981129
50.49,76.59500055,545.3887085
50.5,68.95971983,560.0367846
50.51,62.82531434,575.9606238
50.52,58.46189263,578.4281547
50.53,55.7020611,584.5955396
50.54,54.12882464,597.021608
50.55,53.33398826,601.6299069
50.56,53.04387226,608.7672667
50.57,53.10344499,611.6086722
50.58,53.44005051,613.0481145
50.59,54.02640187,615.1193299
50.6,54.85920966,614.9820754
50.61,55.95051181,613.382468
50.62,57.32204007,612.4651977
50.63,59.00104085,608.2417198
50.64,61.02147935,604.714986
50.65,63.41863653,597.0661864
50.66,66.23031666,591.999902
50.67,69.48654824,576.1842901
50.68,73.21300012,567.7176824
50.69,77.412029,555.0194182
50.7,82.06098931,537.6864778
50.71,87.10212772,524.7407834
50.72,92.42962011,502.3745866
50.73,97.89161649,484.5446174
50.74,103.282609,467.7246106
50.75,108.3498448,443.4305513
50.76,112.8082934,436.7727535
50.77,116.3480817,424.9051664
50.78,118.6688792,433.1053962
50.79,119.4963071,428.293127
50.8,118.625468,434.1323469
50.81,115.9424393,447.2782112
50.82,111.4538258,462.7819915
50.83,105.3091115,487.8572381
50.84,97.81063724,505.6366624
50.85,89.42624661,518.9892734
50.86,80.78374883,539.2403629
50.87,72.62406441,554.1516549
50.88,65.67632406,564.6616094
50.89,60.42314652,575.9135877
50.9,56.90668241,587.4509973
50.91,54.79544302,592.3708861
50.92,53.6545776,599.9219928
50.93,53.13774681,604.5548974
50.94,53.03520387,607.4755896
50.95,53.23990165,613.7773425
50.96,53.70214073,611.9117111
50.97,54.41208679,617.9241246
50.98,55.3720116,617.1963803
50.99,56.59977438,613.5143464
51,58.12165086,613.2743262
51.01,59.96688422,608.9795509
51.02,62.16996,597.8897582
51.03,64.769718,590.1689603
51.04,67.80085837,583.9330706
51.05,71.28994546,569.5110411
51.06,75.25388682,560.5638746
51.07,79.68275706,545.3954516
51.08,84.5378493,530.2865341
51.09,89.73809071,512.0116553
51.1,95.15585614,495.9697771
51.11,100.6112182,479.968762
51.12,105.8742115,458.2252643
51.13,110.6751276,446.175988
51.14,114.7124911,432.6165767
51.15,117.6781958,420.0110261
51.16,119.2840945,432.4676233
51.17,119.2828816,430.5524678
51.18,117.5132533,440.8778774
51.19,113.9175813,450.4965132
51.2,108.5730773,472.8648509
51.21,101.7025449,488.0720133
51.22,93.69340319,511.7083675
51.23,85.09308944,531.5504399
51.24,76.59507745,545.8620824
51.25,68.95943072,558.4177454
51.26,62.82438337,571.1554356
51.27,58.46231346,580.4706875
51.28,55.70294559,588.7206672
51.29,54.12845218,595.324761
