Time,Output Speed,Weight on bit
54.04,110.089367,543.3548282
54.05,112.8194823,521.0023093
54.06,117.7516593,489.80959
54.07,124.4487154,473.4618168
54.08,132.3748078,451.4360669
54.09,140.9262845,428.5379986
54.1,149.4504506,432.760993
54.11,157.2662554,425.2107399
54.12,163.7189445,427.4575722
54.13,168.2308786,451.7090741
54.14,170.3639343,478.6182243
54.15,169.8814869,508.9044473
54.16,166.7863093,560.4480988
54.17,161.3220117,576.8558922
54.18,153.9632182,597.1679722
54.19,145.3565899,603.7615616
54.2,136.2685092,622.9543615
54.21,127.5094412,614.2372463
54.22,119.8751021,598.8754957
54.23,114.0607239,588.4331787
54.24,110.5739461,568.0329033
54.25,109.6761739,559.3392674
54.26,111.3581874,530.4633872
54.27,115.3943167,507.7325019
54.28,121.3948461,478.5251832
54.29,128.8647989,461.9804121
54.3,137.226471,444.4376738
54.31,145.8441596,429.6235522
54.32,154.0461445,424.8730907
54.33,161.1596683,420.3324323
54.34,166.5669735,440.3139081
54.35,169.7615099,468.2974386
54.36,170.4145234,500.6339619
54.37,168.4216647,526.8154618
54.38,163.927147,558.5612
54.39,157.310972,590.6087217
54.4,149.1514619,609.8427695
54.41,140.1707953,616.8145356
54.42,131.170295,616.2542089
54.43,122.9612907,604.9131603
54.44,116.2924799,597.6655755
54.45,111.7605291,578.5897886
54.46,109.7385079,561.846565
54.47,110.3312916,541.4575721
54.48,113.3983267,517.3680925
54.49,118.6120827,488.284555
54.5,125.5191578,470.4804715
54.51,133.573364,452.1150052
54.52,142.1611593,424.4847237
54.53,150.6259796,430.5430232
54.54,158.2860886,424.0926649
54.55,164.495085,439.0007897
54.56,168.6887614,450.1083811
54.57,170.4582367,488.4738157
54.58,169.5962358,516.4057035
54.59,166.1413993,557.2734692
54.6,160.3732927,579.7311235
54.61,152.7936516,603.8677133
54.62,144.068895,604.5265374
54.63,134.9778727,622.095299
54.64,126.332359,613.0498296
54.65,118.9183876,593.3676239
54.66,113.4118702,592.496867
54.67,110.2847686,568.0977849
54.68,109.7612419,552.3077646
54.69,111.7983055,527.1970257
54.7,116.1413331,499.1929327
54.71,122.3856292,484.2763069
54.72,130.018995,459.4532172
54.73,138.4570246,438.9679981
54.74,147.0581193,438.7402947
54.75,155.1442127,423.2345139
54.76,162.0503936,427.5081667
54.77,167.1684337,440.9489505
54.78,170.0154757,473.3662534
54.79,170.2910688,503.3106106
54.8,167.9274632,545.8276274
54.81,163.1005262,566.1760525
54.82,156.2242451,594.2817535
54.83,147.9003236,607.8165614
54.84,138.8679941,627.0689351
54.85,129.9306997,616.0720474
54.86,121.8985308,605.5290657
54.87,115.5029316,596.7780458
54.88,111.3126561,576.3905606
54.89,109.6641417,560.8766548
54.9,110.6235333,535.2501051
54.91,114.0211511,513.2965349
54.92,119.5067018,482.270956
54.93,126.6139318,475.47126
54.94,134.7824972,448.5297179
54.95,143.3940214,426.2760677
54.96,151.7848687,425.9879665
54.97,159.2761425,423.1339368
54.98,165.2289174,438.6743498
54.99,169.0982985,468.4274485
55,170.4978788,490.8722569
55.01,169.2573039,519.5632343
55.02,165.4484715,548.1396087
55.03,159.3881478,592.8896058
55.04,151.6001148,605.043567
55.05,142.7739553,608.9621174
55.06,133.6961974,618.8462863
55.07,125.1804345,610.0585985
55.08,118.0022393,600.3704314
55.09,112.8111893,588.7083133
55.1,110.0489676,566.5373277
55.11,109.8986126,542.3627749
55.12,112.2855671,522.4329812
55.13,116.9281469,498.4469796
55.14,123.4040546,481.9419105
55.15,131.1897093,457.0280632
55.16,139.6907535,431.5727021
55.17,148.2601083,430.9559268
