Time,Output Speed,Weight on bit
50,180.94539,482.6464815
50.01,180.8082929,522.7980881
50.02,178.3359047,552.5932596
50.03,173.8005866,591.1890783
50.04,167.7097656,608.817869
50.05,160.7509185,617.2367629
50.06,153.7074151,606.4814777
50.07,147.3762453,606.3952956
50.08,142.4701622,583.2423831
50.09,139.5433791,567.5462591
50.1,138.9115314,531.0430091
50.11,140.6258798,504.9537719
50.12,144.4696614,480.5403929
50.13,150.0026716,457.4374674
50.14,156.6182122,437.5179798
50.15,163.6050873,422.4793501
50.16,170.2130153,426.4502313
50.17,175.7191522,437.7393409
50.18,179.5064435,463.2399907
50.19,181.1352476,500.1950851
50.2,180.4027193,526.6175352
50.21,177.3795338,565.2334368
50.22,172.3987715,589.839907
50.23,166.0224968,620.6386848
50.24,158.9664137,616.0443387
50.25,152.0283917,611.874154
50.26,145.9903402,593.4021451
50.27,141.5362071,580.2003578
50.28,139.1632217,555.6150056
50.29,139.1244005,524.7048156
50.3,141.4011936,501.2307333
50.31,145.7155523,470.9413019
50.32,151.5815962,452.6464416
50.33,158.3587735,426.8698761
50.34,165.3223045,427.3442208
50.35,171.7190866,425.2525202
50.36,176.8482279,447.8040632
50.37,180.1280968,468.5469339
50.38,181.17536,505.6130084
50.39,179.8533285,540.5833997
50.4,176.2991702,569.7674199
50.41,170.9095769,597.2706561
50.42,164.2909867,612.5205111
50.43,157.1904365,628.2000332
50.44,150.4055577,609.7252628
50.45,144.705387,592.6985007
50.46,140.7333714,574.4750208
50.47,138.9306472,546.9788831
50.48,139.4835054,521.3847099
50.49,142.3034561,481.2054044
50.5,147.0599451,470.9805321
50.51,153.2176119,443.9551752
50.52,160.1120881,430.0178604
50.53,167.0025384,414.8838284
50.54,173.1458494,432.5724823
50.55,177.8599985,447.2958547
50.56,180.6097086,485.1453559
50.57,181.0660659,511.3407865
50.58,179.162917,551.0175946
50.59,175.1031049,575.0178502
50.6,169.3428157,602.9958358
50.61,162.5297803,613.444024
50.62,155.4327284,618.3070317
50.63,148.8512876,609.5446361
50.64,143.5295126,592.6237707
50.65,140.0671739,565.7500743
50.66,138.8475367,548.0140417
50.67,139.9851626,513.187575
50.68,143.3293789,481.4144477
50.69,148.4909614,451.4119238
50.7,154.9004767,441.33137
50.71,161.8647572,427.8582631
50.72,168.6369769,420.2481801
50.73,174.4814819,424.7277067
50.74,178.7485307,456.2349718
50.75,180.9455904,485.4587934
50.76,180.8088551,530.677986
50.77,178.336161,556.1378066
50.78,173.8003687,588.2517174
50.79,167.7088322,596.6694322
50.8,160.7511849,620.5632565
50.81,153.7079841,613.2786519
50.82,147.3762978,606.9961486
50.83,142.4696805,577.8995842
50.84,139.5428843,562.1686025
50.85,138.9119049,535.0857231
50.86,140.6261718,508.1515483
50.87,144.4696024,479.8770953
50.88,150.0017813,447.0509795
50.89,156.6180422,435.4487876
50.9,163.6052818,424.9501165
50.91,170.2130502,426.9098671
50.92,175.7185489,429.5165065
50.93,179.5058835,455.4476015
50.94,181.1348497,494.6092683
50.95,180.4030722,531.5531374
50.96,177.3800893,572.8741906
50.97,172.3989861,592.7097371
50.98,166.0216008,609.0935768
50.99,158.9654521,604.1712506
51,152.0288854,617.7096581
51.01,145.9908824,599.5597899
51.02,141.5358887,576.691084
51.03,139.1626907,549.859264
51.04,139.1245556,526.3869963
51.05,141.4011303,500.5341365
51.06,145.7155049,470.4027496
51.07,151.5812554,448.6285642
51.08,158.3586227,425.0148309
51.09,165.3226976,432.3874245
51.1,171.7191981,426.7367362
51.11,176.8479253,443.6547999
51.12,180.12732,457.7000761
51.13,181.1750466,501.2116535
51.14,179.8532168,539.0279952
51.15,176.2995337,574.7374112
51.16,170.9099681,602.4570248
51.17,164.2911052,614.0328336
51.18,157.1890839,611.6819985
51.19,150.404861,601.5767865
51.2,144.7056796,595.9939964
51.21,140.7333832,574.6034168
51.22,138.9298005,537.81426
51.23,139.4840182,526.9586547
51.24,142.3044344,492.0473571
51.25,147.0592287,462.7828794
51.26,153.2175167,442.8218634
51.27,160.1118625,427.2114519
51.28,167.0028761,419.2608296
51.29,173.1466628,443.4961348
51.3,177.8600636,448.192251
51.31,180.609106,476.7079511
51.32,181.0651847,498.9740882
51.33,179.1629748,551.8218967
51.34,175.1034007,579.0361751
51.35,169.3429898,605.2832699
51.36,162.5299364,615.413768
51.37,155.4326364,617.1960592
51.38,148.8504325,599.6455905
51.39,143.5295759,593.330796
51.4,140.0672647,566.7403561
51.41,138.8467318,539.3060523
51.42,139.9844449,505.3618793
51.43,143.3302575,491.2187933
51.44,148.4917951,461.0423183
51.45,154.8997306,432.3479836
51.46,161.8647726,428.0524394
51.47,168.6370879,421.701408
51.48,174.482055,432.4840555
51.49,178.7494138,468.4723599
51.5,180.9456305,486.0202292
