Time,Output Speed,Weight on bit
50,33.98215854,610.9375451
50.01,34.2006252,607.7544395
50.02,34.45116752,605.4493374
50.03,34.73352077,601.2130378
50.04,35.04833727,595.2249174
50.05,35.39797334,593.4646438
50.06,35.7804991,587.6695211
50.07,36.19750484,581.6962824
50.08,36.64982245,577.3610323
50.09,37.13671073,571.7526614
50.1,37.6573926,562.6583821
50.11,38.21350658,557.5219447
50.12,38.80266204,551.2414349
50.13,39.42327221,543.3350957
50.14,40.07377946,535.741233
50.15,40.75102119,527.3603614
50.16,41.45170887,519.8146999
50.17,42.17060324,511.1265558
50.18,42.90246325,503.2869064
50.19,43.64010455,495.23514
50.2,44.37502696,485.2106176
50.21,45.09978659,479.9708986
50.22,45.80168857,469.6784666
50.23,46.47102861,459.5742157
50.24,47.0975864,455.4583976
50.25,47.66797443,451.3647712
50.26,48.16920666,442.1325141
50.27,48.59265556,438.0937929
50.28,48.92658604,432.071109
50.29,49.16369328,428.5848011
50.3,49.29754346,427.0961472
50.31,49.32353012,424.363079
50.32,49.24158576,424.8268978
50.33,49.05244257,424.3352374
50.34,48.76115174,425.2724016
50.35,48.37482837,427.9588065
50.36,47.90251652,431.6934277
50.37,47.35502347,436.1274467
50.38,46.74405112,440.0073406
50.39,46.08322533,447.6820782
50.4,45.3834672,452.5805311
50.41,44.65805299,459.536312
50.42,43.91750311,465.7584056
50.43,43.17223144,472.4187949
50.44,42.43183917,482.3216376
50.45,41.70253996,490.3707375
50.46,40.99089199,497.7512715
50.47,40.30175479,503.8076923
50.48,39.64030141,513.0038682
50.49,39.00850637,521.6144253
50.5,38.40855386,529.7234055
50.51,37.8414913,535.8271119
50.52,37.30960589,544.737555
50.53,36.81202598,551.7410927
50.54,36.34914578,557.8015766
50.55,35.92132676,564.6279495
50.56,35.52702597,568.0912659
50.57,35.16840661,577.054678
50.58,34.84248332,583.2523542
50.59,34.54876257,587.0227367
50.6,34.28786317,592.4144266
50.61,34.05843498,596.8665835
50.62,33.85975845,599.8192438
50.63,33.69221868,604.1823281
50.64,33.55438049,606.6757462
50.65,33.44658687,609.6330714
50.66,33.36831616,612.2982549
50.67,33.31920875,614.183395
50.68,33.29914654,615.3137105
50.69,33.30815101,615.8872182
50.7,33.34625429,615.852436
50.71,33.41360935,615.2702447
50.72,33.51068175,614.9486442
50.73,33.63805076,615.8091298
50.74,33.79410727,611.3387271
50.75,33.98198943,610.3797924
50.76,34.20052118,607.4101674
50.77,34.45100821,604.9199707
50.78,34.73423841,603.6081145
50.79,35.04824789,594.9252838
50.8,35.39803796,593.682592
50.81,35.78076509,588.5725513
50.82,36.19745299,581.5191529
50.83,36.65006965,578.2120325
50.84,37.13673956,571.8526613
50.85,37.65723906,562.1212653
50.86,38.21391359,558.9595935
50.87,38.80269917,551.3738212
50.88,39.42328282,543.3732885
50.89,40.07387871,536.1026022
50.9,40.75119208,527.9896206
50.91,41.45156479,519.2779508
50.92,42.17054794,510.9181116
50.93,42.90216991,502.1678713
50.94,43.63998358,494.7680009
50.95,44.37500916,485.1410452
50.96,45.09896161,476.7092769
50.97,45.80132027,468.2056744
50.98,46.47117329,460.159465
50.99,47.09732344,454.3846747
51,47.66785359,450.8666362
51.01,48.16907171,441.5719731
51.02,48.59257242,437.7461312
51.03,48.92682468,433.0742487
51.04,49.16372294,428.7099167
51.05,49.29726531,425.9202019
51.06,49.32341305,423.8682015
51.07,49.24142912,424.1652024
51.08,49.05292702,426.3752888
51.09,48.76073901,423.5426469
51.1,48.374831,427.9697243
51.11,47.90192494,429.2474128
51.12,47.35494723,435.8148894
51.13,46.74429143,440.9828284
51.14,46.08307207,447.0664319
51.15,45.38374842,453.6973719
51.16,44.65816739,459.9853613
51.17,43.91828979,468.8088318
51.18,43.17216633,472.1693535
51.19,42.43169327,481.769366
51.2,41.7023535,489.6733753
51.21,40.99112747,498.6217416
51.22,40.30177298,503.8744917
51.23,39.64070989,514.4807212
51.24,39.00843052,521.3430187
51.25,38.40840836,529.2079353
51.26,37.84158499,536.155898
51.27,37.31033567,547.2761207
51.28,36.81191155,551.3461864
51.29,36.34879491,556.5999164
51.3,35.92153386,565.3325006
51.31,35.52740288,569.3650841
51.32,35.16840469,577.0481901
51.33,34.84222672,582.394494
51.34,34.54960069,589.8110722
51.35,34.28826445,593.7439339
51.36,34.05812052,595.828427
51.37,33.85980324,599.9666329
51.38,33.69214414,603.937602
51.39,33.55446019,606.936821
51.4,33.44648306,609.2935658
51.41,33.3681367,611.7120583
51.42,33.31906528,613.7151036
51.43,33.29910648,615.1829865
51.44,33.30823473,616.1604133
51.45,33.34647177,616.5625841
51.46,33.4138253,615.9761834
51.47,33.51058521,614.6326439
51.48,33.63769634,614.6465314
51.49,33.79458963,612.9246973
51.5,33.98161972,609.1606182
51.51,34.20054644,607.4937362
51.52,34.45096895,604.7894961
51.53,34.73413954,603.2780193
51.54,35.04872055,596.5106861
51.55,35.39788063,593.15186
51.56,35.7811674,589.9381788
51.57,36.19774432,582.5146226
51.58,36.65010224,578.3241909
